iter	RMSE
0	0.4501920824
1	0.4182478943
2	0.406984247
3	0.4011672774
4	0.3973534347
5	0.3931839154
6	0.3871015846
7	0.3849663164
8	0.3831678102
9	0.3801192105
10	0.3790539036
11	0.3783030977
12	0.3776109122
13	0.3749512168
14	0.3741950828
15	0.3732311408
16	0.3716912474
17	0.3699580049
18	0.3690297122
19	0.3683040734
20	0.367849638
21	0.3666527272
22	0.3659510361
23	0.3650110841
24	0.3646896424
25	0.3642196629
26	0.3633252307
27	0.362377095
28	0.3621249923
29	0.361720142
30	0.3613313873
31	0.3604019858
32	0.3599577072
33	0.3596298494
34	0.359343358
35	0.3589000233
36	0.3585911568
37	0.3583634265
38	0.3580753097
39	0.3579075385
40	0.3577784718
41	0.3575422458
42	0.3573447426
43	0.3570378212
44	0.3568027668
45	0.3563969878
46	0.3561931796
47	0.3560534443
48	0.3557401664
49	0.3554858128
50	0.3554035847
51	0.3551551419
52	0.3551387046
53	0.3548333281
54	0.3548302314
55	0.3546433093
56	0.3542641056
57	0.3541558144
58	0.3540192758
59	0.3538690911
60	0.3537935986
61	0.3535851097
62	0.3533923938
63	0.3531224432
64	0.3529794893
65	0.3528534986
66	0.3528526827
67	0.3528519891
68	0.3528151476
69	0.3526878823
70	0.3525748864
71	0.3524115104
72	0.3522114133
73	0.3521371757
74	0.3520002819
75	0.3518830867
76	0.3515529013
77	0.3514213689
78	0.3511927747
79	0.3511737692
80	0.3511294845
81	0.3510685258
82	0.3510059213
83	0.3509308156
84	0.3506719801
85	0.3505497851
86	0.3503644019
87	0.3503073416
88	0.3501919365
89	0.3501320448
90	0.3500157476
91	0.3499104198
92	0.3495868866
93	0.3494301948
94	0.3492805231
95	0.349202676
96	0.3490771553
97	0.3489969565
98	0.3488236621
99	0.3487336917
100	0.3485755923
101	0.3485509871
102	0.3483551669
103	0.3482879747
104	0.3482266969
105	0.3480062402
106	0.3480051419
107	0.3478584657
108	0.3478182532
109	0.3477195773
110	0.3476688969
111	0.347558044
112	0.3474562943
113	0.3474049679
114	0.347347407
115	0.3473463975
116	0.3473037456
117	0.3471581835
118	0.3470322625
119	0.3470316304
120	0.3469502307
121	0.3467830506
122	0.3467827498
123	0.3467091366
124	0.3465520649
125	0.3464090254
126	0.3462568786
127	0.3461815751
128	0.3461590945
129	0.3461569506
130	0.3461227323
131	0.3459064114
132	0.3458360504
133	0.3456128401
134	0.3455080444
135	0.3454744352
136	0.3454120489
137	0.3453394233
138	0.3452930199
139	0.3452840143
140	0.3452819448
141	0.3452804879
142	0.345207569
143	0.3450855536
144	0.3450771738
145	0.3449989592
146	0.3448810236
147	0.3448672537
148	0.3447518161
149	0.3447457402
150	0.3446754968
151	0.3445731683
152	0.3444591402
153	0.3443771144
154	0.3443151621
155	0.3443144568
156	0.3442327626
157	0.3442317081
158	0.3442003101
159	0.3440770468
160	0.3440766289
161	0.3440238956
162	0.3440172422
163	0.3439036595
164	0.3438698362
165	0.3437680101
166	0.3436924298
167	0.3436124234
168	0.3435476891
169	0.3435454144
170	0.3434615439
171	0.3433836017
172	0.3433540424
173	0.34325053
174	0.3432498917
175	0.3432348903
176	0.3430763698
177	0.3430723862
178	0.3430680745
179	0.3430348735
180	0.3430341915
181	0.3429582634
182	0.3429567855
183	0.3428410614
184	0.342838902
185	0.3427689213
186	0.3426683205
187	0.3425677054
188	0.3424570909
189	0.3423950631
190	0.3422423125
191	0.3421807771
