iter	Passed	Remaining
0	1510	527294
1	3190	555103
2	4731	547310
3	6316	546348
4	8006	552458
5	9599	550365
6	11417	559444
7	13046	557749
8	14543	551045
9	15799	537177
10	17526	540147
11	19080	537437
12	20584	533611
13	22208	533005
14	23785	531204
15	25212	526320
16	26994	528775
17	28705	529456
18	30254	527071
19	31861	525721
20	33351	522511
21	35398	527752
22	37168	528440
23	38863	527897
24	40274	523564
25	41777	520616
26	43429	519549
27	44974	517211
28	46474	514422
29	48131	513404
30	50074	515285
31	51777	514541
32	53522	514136
33	55474	515587
34	57219	514973
35	59146	515892
36	60932	515457
37	62586	513865
38	64152	511576
39	65860	510420
40	67743	510555
41	69332	508436
42	70814	505581
43	72424	503676
44	74048	501886
45	75652	499962
46	77162	497450
47	78753	495491
48	80357	493625
49	81884	491307
50	83464	489328
51	84988	487049
52	86427	484318
53	88124	483050
54	89545	480287
55	91361	479647
56	92803	477043
57	94344	474978
58	96016	473573
59	97618	471821
60	98964	468864
61	100446	466589
62	102421	466585
63	104135	465357
64	105808	463928
65	107499	462571
66	108858	459803
67	110116	456660
68	111682	454822
69	113048	452193
70	114611	450373
71	116139	448426
72	118245	448683
73	119973	447469
74	121569	445754
75	123225	444258
76	124812	442518
77	126455	440971
78	128008	439118
79	129802	438083
80	131573	436954
81	133044	434827
82	135397	435556
83	137838	436487
84	139418	434657
85	140625	431687
86	141875	428888
87	143574	427459
88	145045	425357
89	146447	423071
90	147737	420483
91	149258	418572
92	151080	417500
93	152665	415769
94	154398	414437
95	156009	412775
96	157776	411519
97	159505	410157
98	160970	408116
99	162495	406239
100	164398	405298
101	165876	403307
102	167317	401236
103	169087	399956
104	171009	399021
105	173062	398370
106	174421	396115
107	176239	394906
108	177854	393239
109	179511	391660
110	181417	390620
111	183103	389095
112	184627	387227
113	186363	385804
114	187930	384031
115	189248	381759
116	191322	381010
117	193190	379831
118	194843	378225
119	196093	375846
120	197980	374690
121	199775	373351
122	201092	371122
123	202863	369735
124	204576	368237
125	206459	367038
126	207941	365125
127	209388	363157
128	211317	362024
129	212995	360454
130	214572	358712
131	216396	357381
132	218152	355932
133	220040	354692
134	221938	353457
135	223465	351629
136	225051	349897
137	226696	348258
138	228437	346764
139	229921	344881
140	231330	342893
141	232825	341040
142	234666	339692
143	236613	338488
144	238239	336821
145	239738	334976
146	241204	333092
147	242822	331419
148	244494	329822
149	246021	328028
150	247641	326361
151	249211	324630
152	250791	322914
153	252300	321109
154	254092	319664
155	255516	317757
156	257192	316166
157	258796	314486
158	260270	312651
159	261704	310774
160	263206	308980
161	264706	307190
162	266270	305475
163	267810	303736
164	269706	302397
165	271289	300706
166	272834	298974
167	274665	297553
168	276361	295985
169	277969	294320
170	279602	292683
171	282298	292146
172	284256	290828
173	286075	289363
174	287819	287819
175	289397	286109
176	291141	284562
177	292819	282949
178	294453	281293
179	296608	280129
180	298155	278388
181	299846	276781
182	301359	275011
183	303018	273375
184	304556	271631
185	306341	270107
186	308071	268532
187	309616	266797
188	311502	265353
189	313118	263678
190	316442	263426
191	318348	261974
192	320027	260333
193	321854	258811
194	323847	257417
195	325455	255715
196	327155	254084
197	328857	252456
198	332469	252276
199	334074	250555
200	337099	249889
201	338568	248059
202	340351	246461
203	342048	244799
204	343676	243088
205	345326	241392
206	346895	239642
207	348323	237797
208	350085	236182
209	351718	234478
210	353295	232739
211	354780	230942
212	357605	230009
213	359120	228225
214	360590	226417
215	362161	224674
216	363704	222915
217	365269	221172
218	366919	219481
219	368584	217799
220	370497	216263
221	372187	214594
222	373689	212818
223	375359	211139
224	377040	209467
225	378848	207863
226	380417	206129
227	381956	204380
228	383744	202764
229	385312	201032
230	386884	199304
231	388407	197552
232	390277	195976
233	391916	194283
234	393493	192560
235	395280	190940
236	396970	189273
237	398819	187679
238	400683	186091
239	403063	184737
240	404817	183091
241	406725	181513
242	408504	179876
243	410422	178298
244	412354	176723
245	414061	175050
246	415727	173359
247	417514	171719
248	419104	169998
249	422012	168804
250	423724	167126
251	425733	165563
252	427453	163885
253	429303	162256
254	430992	160565
255	433332	159114
256	434860	157362
257	436427	155625
258	437929	153867
259	439877	152265
260	441655	150602
261	443434	148939
262	445060	147225
263	446866	145570
264	448254	143779
265	449537	141959
266	451037	140210
267	452544	138465
268	454393	136824
269	458745	135924
270	460573	134263
271	462427	132607
272	463921	130849
273	465624	129151
274	467398	127472
275	468938	125729
276	470775	124067
277	472413	122351
278	474044	120634
279	475767	118941
280	477282	117197
281	479055	115516
282	480840	113838
283	482550	112142
284	484183	110427
285	485713	108691
286	487279	106963
287	488763	105219
288	490292	103487
289	492137	101821
290	494001	100158
291	495677	98456
292	497367	96757
293	499296	95104
294	500763	93362
295	502162	91610
296	503938	89928
297	505919	88281
298	509455	86897
299	511639	85273
300	513484	83590
301	515154	81878
302	517227	80229
303	518802	78502
304	520574	76806
305	522484	75128
306	524759	73500
307	526336	71773
308	527875	70041
309	529523	68325
310	530985	66586
311	532674	64877
312	534989	63241
313	536459	61504
314	538190	59798
315	539824	58082
316	541670	56388
317	543943	54736
318	545629	53023
319	547427	51321
320	550496	49733
321	552764	48066
322	554477	46349
323	556673	44671
324	558349	42949
325	560136	41237
326	562224	39544
327	564254	37846
328	565785	36113
329	567680	34404
330	569298	32678
331	571076	30961
332	572700	29236
333	574280	27510
334	575888	25786
335	577404	24058
336	579125	22340
337	580855	20622
338	583198	18923
339	584917	17203
340	586344	15475
341	588051	13755
342	590108	12043
343	591782	10321
344	594189	8611
345	595593	6885
346	597401	5164
347	599307	3444
348	600770	1721
349	602356	0
